A,A_unit,n,Ea,Ea_unit,T0,T0_unit,Tmin,Tmin_unit,Tmax,Tmax_unit,dA,dn,dEa,folder,subfolder,E0_reactants_kJmol,E0_TS_kJmol,E0_products_kJmol
0.0139324,cm^3/(mol*s),4.14872,4.61054,kJ/mol,1.0,K,300.0,K,3000.0,K,1.3305,0.0371934,0.212699,ZEUS,rmg_rxn_15622,59.04,78.28,0.0
0.00925742,cm^3/(mol*s),4.0538,1.96895,kJ/mol,1.0,K,300.0,K,3000.0,K,1.24955,0.0290182,0.165947,ZEUS,rmg_rxn_16529,57.37,75.94,0.0
0.0440588,cm^3/(mol*s),3.94481,12.6104,kJ/mol,1.0,K,300.0,K,3000.0,K,1.13607,0.0166171,0.0950286,ZEUS,rmg_rxn_16689,0.0,26.89,13.27
0.00123857,cm^3/(mol*s),4.21325,51.9624,kJ/mol,1.0,K,300.0,K,3000.0,K,1.6439,0.0647442,0.370254,ZEUS,rmg_rxn_16527,87.13,155.81,0.0
0.323794,cm^3/(mol*s),3.29725,-5.45423,kJ/mol,1.0,K,300.0,K,3000.0,K,1.15418,0.0186772,0.10681,ZEUS,rmg_rxn_15699,63.4,67.94,0.0
0.777478,cm^3/(mol*s),3.84888,4.83699,kJ/mol,1.0,K,300.0,K,3000.0,K,1.17116,0.0205785,0.117683,ZEUS,rmg_rxn_15509,114.31,128.3,0.0
0.00124052,cm^3/(mol*s),4.18091,1.43358,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31237,0.0354068,0.202482,ZEUS,rmg_rxn_16467,48.61,68.13,0.0
0.707593,cm^3/(mol*s),3.80444,4.27872,kJ/mol,1.0,K,300.0,K,3000.0,K,1.1586,0.0191748,0.109655,ZEUS,rmg_rxn_15427,57.56,70.46,0.0
0.00149535,cm^3/(mol*s),4.18052,3.59631,kJ/mol,1.0,K,300.0,K,3000.0,K,1.31443,0.0356111,0.20365,ZEUS,rmg_rxn_16474,50.51,71.79,0.0
0.0211565,cm^3/(mol*s),4.29013,11.5062,kJ/mol,1.0,K,300.0,K,3000.0,K,1.47206,0.050363,0.288012,ZEUS,rmg_rxn_15421,39.52,65.16,0.0
1.5656e-06,cm^3/(mol*s),4.83984,18.0062,kJ/mol,1.0,K,300.0,K,3000.0,K,2.14343,0.0993043,0.567894,ZEUS,rmg_rxn_15660,13.47,56.67,0.0
0.000458788,cm^3/(mol*s),4.26657,13.3877,kJ/mol,1.0,K,300.0,K,3000.0,K,1.56233,0.0581153,0.332346,ZEUS,rmg_rxn_15050,5.62,36.36,0.0
0.114206,cm^3/(mol*s),3.9695,-0.290564,kJ/mol,1.0,K,300.0,K,3000.0,K,1.15501,0.0187703,0.107342,ZEUS,rmg_rxn_15382,112.89,128.66,0.0
1.87845e-06,cm^3/(mol*s),4.79882,17.9428,kJ/mol,1.0,K,300.0,K,3000.0,K,2.14103,0.0991587,0.567061,ZEUS,rmg_rxn_15685,18.65,60.5,0.0
1.06003,cm^3/(mol*s),3.80935,4.83742,kJ/mol,1.0,K,300.0,K,3000.0,K,1.16587,0.0199894,0.114314,ZEUS,rmg_rxn_15524,57.12,70.64,0.0
0.00256708,cm^3/(mol*s),4.49448,8.18864,kJ/mol,1.0,K,300.0,K,3000.0,K,1.60264,0.0614332,0.35132,ZEUS,rmg_rxn_15722,40.07,66.21,0.0
4.40418e-06,cm^3/(mol*s),4.80072,17.3524,kJ/mol,1.0,K,300.0,K,3000.0,K,2.12382,0.0981076,0.56105,ZEUS,rmg_rxn_15604,23.47,63.66,0.0
4.38988,cm^3/(mol*s),3.45068,-6.05268,kJ/mol,1.0,K,300.0,K,3000.0,K,1.08135,0.0101867,0.0582552,ZEUS,rmg_rxn_15592,145.78,147.81,0.0
4.24883e-05,cm^3/(mol*s),4.36968,49.6569,kJ/mol,1.0,K,300.0,K,3000.0,K,1.51378,0.0540037,0.308832,ZEUS,rmg_rxn_16773,0.0,71.31,44.55
0.0423505,cm^3/(mol*s),4.17148,10.06,kJ/mol,1.0,K,300.0,K,3000.0,K,1.3803,0.0419803,0.240074,ZEUS,rmg_rxn_15541,87.92,112.36,0.0
0.034977,cm^3/(mol*s),4.1712,9.80782,kJ/mol,1.0,K,300.0,K,3000.0,K,1.37726,0.041693,0.23843,ZEUS,rmg_rxn_15506,81.99,106.19,0.0
0.0530483,cm^3/(mol*s),3.69534,-2.77304,kJ/mol,1.0,K,300.0,K,3000.0,K,1.03526,0.00451384,0.0258134,ZEUS,rmg_rxn_16690,11.89,20.14,0.0
1.56907e-05,cm^3/(mol*s),4.87252,20.8315,kJ/mol,1.0,K,300.0,K,3000.0,K,2.22865,0.104383,0.596936,ZEUS,rmg_rxn_15707,13.16,57.83,0.0
0.000149069,cm^3/(mol*s),4.35842,5.27464,kJ/mol,1.0,K,300.0,K,3000.0,K,1.47679,0.0507808,0.290401,ZEUS,rmg_rxn_16464,20.18,44.71,0.0
