rxn,direction,E0_total,E0_TS0,delta_E0
rmg_rxn_1492,forward,-685009.0,-685009.0,0.0
rmg_rxn_1492,reverse,-685099.0,-685009.0,90.0
rmg_rxn_1493,forward,-1026340.0,-1026310.0,30.0
rmg_rxn_1493,reverse,-1026365.0,-1026310.0,55.0
rmg_rxn_1494,forward,-839210.0,-839169.0,41.0
rmg_rxn_1494,reverse,-839230.0,-839169.0,61.0
rmg_rxn_1496,forward,-796976.0,,
rmg_rxn_1496,reverse,-486263.0,,
rmg_rxn_1498,forward,-1741119.0,-1741090.0,29.0
rmg_rxn_1498,reverse,-1741142.0,-1741090.0,52.0
rmg_rxn_15,forward,-1770246.0,,
rmg_rxn_15,reverse,-1459450.0,,
rmg_rxn_1500,forward,-1035199.0,-1035150.0,49.0
rmg_rxn_1500,reverse,-1035198.0,-1035150.0,48.0
rmg_rxn_15050,forward,-2359271.0,-2359240.0,31.0
rmg_rxn_15050,reverse,-2359277.0,-2359240.0,37.0
rmg_rxn_151,forward,-1025393.0,,
rmg_rxn_151,reverse,-714592.0,,
rmg_rxn_1519,forward,-996219.0,-996213.0,6.0
rmg_rxn_1519,reverse,-996303.0,-996213.0,90.0
rmg_rxn_152,forward,-1006543.0,-1006540.0,3.0
rmg_rxn_152,reverse,-1006613.0,-1006540.0,73.0
rmg_rxn_1523,forward,-795501.0,-795494.0,7.0
rmg_rxn_1523,reverse,-795627.0,-795494.0,133.0
rmg_rxn_1525,forward,-487910.0,,
rmg_rxn_1525,reverse,-893156.0,,
rmg_rxn_1527,forward,-882476.0,-882474.0,2.0
rmg_rxn_1527,reverse,-882617.0,-882474.0,143.0
rmg_rxn_153,forward,-1067556.0,-1067540.0,16.0
